direction_id,source_dataset,feature_name,p01,p05,median,p95,p99,min,max
Exp1_to_Exp2,Exp1,rs_corrdist_base,0.02397245746595885,0.9538763449875999,12.0,12.0,12.0,-0.8067014366837196,12.0
Exp1_to_Exp2,Exp1,rs_mean,-7.020990005684871,-6.806981158544451,-3.953491904046567,1.3587473099377714,1.8252892486942993,-7.308805816757594,2.0757846098768686
Exp1_to_Exp2,Exp1,rs_absmean,-7.020990005684871,-6.806981158544451,-3.953491904046567,1.3587473099377714,1.8252892486942993,-7.308805816757594,2.0757846098768686
Exp1_to_Exp2,Exp1,rs_q05,-9.302886408741436,-8.989432047561854,-4.765292175209266,2.462305513605712,4.49247226837308,-9.913305337396595,5.24088823834034
Exp1_to_Exp2,Exp1,rx_corrdist_base,0.03292158217746398,1.078500747187239,12.0,12.0,12.0,-0.8169580861522796,12.0
Exp1_to_Exp2,Exp1,rs_rms,-7.155854644698907,-6.944946950995183,-4.115581050158678,0.8802844345182002,1.3131437540119664,-7.432944930966797,1.7484374572956551
Exp1_to_Exp2,Exp1,ry_p2p,-1.4943866281611748,-0.5965456960635932,6.473335970081408,12.0,12.0,-2.110063285850271,12.0
Exp1_to_Exp2,Exp1,rx_mean,-7.5862963633705665,-7.32007169491962,-4.502701906336181,-1.9380988668956456,0.23283436040121047,-7.818615166160878,1.7936217884867822
Exp1_to_Exp2,Exp1,rx_absmean,-7.5862963633705665,-7.32007169491962,-4.502701906336181,-1.9380988668956456,0.23283436040121047,-7.818615166160878,1.7936217884867822
Exp1_to_Exp2,Exp1,rx_q05,-8.491643189408633,-8.367804193906837,-4.716684095247062,-2.2518261374755233,0.4368600693449171,-9.060100784943009,2.171197817450643
Exp2_to_Exp1,Exp2,rs_corrdist_base,-0.47622980284726124,-0.005167097483967471,2.342945315674831,9.178205304449563,12.0,-0.5778903128388094,12.0
Exp2_to_Exp1,Exp2,rs_mean,-1.3559439539663836,-0.9247884535304451,0.0708029932868142,1.0285188494463788,1.3616059731139913,-1.409583535635092,1.749484889813955
Exp2_to_Exp1,Exp2,rs_absmean,-1.3559439539663836,-0.9247884535304451,0.0708029932868142,1.0285188494463788,1.3616059731139913,-1.409583535635092,1.749484889813955
Exp2_to_Exp1,Exp2,rs_q05,-1.8059709739300098,-1.2450267845222784,0.041635555216292,1.1501609051580883,1.694608338792601,-1.863373231169492,2.0411331471236696
Exp2_to_Exp1,Exp2,rx_corrdist_base,-0.3049468655105358,0.1569149119414187,4.005473801561696,8.515394974325671,12.0,-0.4556826942549843,12.0
Exp2_to_Exp1,Exp2,rs_rms,-1.3401296811101566,-0.9194019125088286,0.0837089994847781,1.0814746240622228,1.3921475266175458,-1.3929104108806656,1.7854610476807466
Exp2_to_Exp1,Exp2,ry_p2p,-4.191020364989683,-3.6956219095420897,-1.031864848681987,9.756768061360177,11.684874357898588,-4.324039001421482,12.0
Exp2_to_Exp1,Exp2,rx_mean,-3.211092301607641,-2.9166104381998257,4.600757751169484,11.181017472828065,12.0,-3.747438962530779,12.0
Exp2_to_Exp1,Exp2,rx_absmean,-3.211092301607641,-2.9166104381998257,4.600757751169484,11.181017472828065,12.0,-3.747438962530779,12.0
Exp2_to_Exp1,Exp2,rx_q05,-1.9790566637321412,-1.6945081480505813,1.188948493891681,2.887404947801846,3.311631419888542,-2.169350608546958,3.935738930873929
