row_type,dataset,segment,windows,effective_start,effective_end,D_state_median,D_state_q25,D_state_q75,V1000_median,V1000_q25,V1000_q75,multi_scale_rate_divergence_median,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q75,state_volatility_median,state_volatility_q25,state_volatility_q75,metric_left,metric_right,spearman
time_tertile,Exp1,early,2906,2000.5,16525.5,5.985284243290234,1.9329343360331626,6.789472332050622,0.08593857859869938,0.041955178109627095,0.24917786548264054,0.3421153956701761,0.183666320390918,0.6326305144301914,0.438889544014698,0.3162185267976159,0.961016189892319,,,
time_tertile,Exp1,middle,2905,16530.5,31050.5,7.538483388663202,5.906980464108633,12.380008098499847,0.10015303140417173,0.06017009645785037,0.293515852863957,0.4820357236350546,0.28014751061759013,0.8077719499828588,0.5891250119622315,0.5010111153973893,1.1312343571212726,,,
time_tertile,Exp1,late,2906,31055.5,45580.5,9.554856476846801,7.236782701795902,11.373480823264039,0.19005322468207592,0.09230540957729473,0.3421806825846967,0.6262875040492266,0.3894333404456489,1.0427410914229018,0.9052175186448272,0.6831037105666872,1.3095273689631877,,,
metric_complementarity,Exp1,all,8717,,,,,,,,,,,,,,,D_state,V1000,0.5345134593057881
metric_complementarity,Exp1,all,8717,,,,,,,,,,,,,,,D_state,multi_scale_rate_divergence,0.49850457344733223
metric_complementarity,Exp1,all,8717,,,,,,,,,,,,,,,D_state,state_volatility,0.582550881369148
metric_complementarity,Exp1,all,8717,,,,,,,,,,,,,,,V1000,multi_scale_rate_divergence,0.6226525555120437
metric_complementarity,Exp1,all,8717,,,,,,,,,,,,,,,V1000,state_volatility,0.7801244997725556
metric_complementarity,Exp1,all,8717,,,,,,,,,,,,,,,multi_scale_rate_divergence,state_volatility,0.6583399955899913
time_tertile,Exp2,early,807,2000.5,6030.5,3.075204262563681,2.7098710319363786,3.650662658739386,0.16451035229750519,0.11676561091098595,0.36536052016519494,0.5657887393325136,0.3220837165876833,1.1212370947538468,2.3347717508233474,1.3354886101479637,3.7302657767474074,,,
time_tertile,Exp2,middle,806,6035.5,10060.5,2.0267106856591806,1.3677367770256774,3.331131308776044,0.21845845597662178,0.15864772397208504,0.2905302401196127,0.701035435710361,0.3253586956460483,1.1919012929644504,1.806329658622362,1.4907489585646188,2.291659820395159,,,
time_tertile,Exp2,late,806,10065.5,14090.5,6.911665572453657,5.122802682507234,7.4788473155447965,0.3450845268391261,0.2696873948002234,0.4551269198666555,0.6880349744537704,0.4773141484020575,1.354152970368884,3.5541034839467702,1.9742802173192118,4.312354672104702,,,
metric_complementarity,Exp2,all,2419,,,,,,,,,,,,,,,D_state,V1000,0.6731982305487025
metric_complementarity,Exp2,all,2419,,,,,,,,,,,,,,,D_state,multi_scale_rate_divergence,0.38156544460172026
metric_complementarity,Exp2,all,2419,,,,,,,,,,,,,,,D_state,state_volatility,0.34168828847175614
metric_complementarity,Exp2,all,2419,,,,,,,,,,,,,,,V1000,multi_scale_rate_divergence,0.34306715737252824
metric_complementarity,Exp2,all,2419,,,,,,,,,,,,,,,V1000,state_volatility,0.3224645425215449
metric_complementarity,Exp2,all,2419,,,,,,,,,,,,,,,multi_scale_rate_divergence,state_volatility,0.41358987451238566
