direction,target_dataset,replicate,full_transition_count,bootstrap_transition_count,boundary_match_fraction,tolerance_cycles
Exp1_to_Exp2,Exp2,0,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,1,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,2,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,3,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,4,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,5,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,6,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,7,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,8,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,9,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,10,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,11,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,12,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,13,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,14,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,15,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,16,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,17,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,18,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,19,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,20,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,21,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,22,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,23,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,24,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,25,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,26,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,27,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,28,0,0,0.0,422.4
Exp1_to_Exp2,Exp2,29,0,0,0.0,422.4
Exp2_to_Exp1,Exp1,0,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,1,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,2,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,3,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,4,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,5,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,6,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,7,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,8,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,9,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,10,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,11,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,12,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,13,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,14,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,15,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,16,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,17,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,18,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,19,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,20,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,21,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,22,2,4,1.0,1367.1
Exp2_to_Exp1,Exp1,23,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,24,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,25,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,26,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,27,2,0,0.0,1367.1
Exp2_to_Exp1,Exp1,28,2,2,1.0,1367.1
Exp2_to_Exp1,Exp1,29,2,2,1.0,1367.1
