decile,count,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,accepted_pseudo_state_count,prototype_update_count,direction_id
0-10%,281,,,,,0.9928825622775801,0.0028268551236749115,,,0.0,6.235945627904228e-08,3.934915796612341e-15,0.05136251538455889,0.9901376090429246,0,0,Exp1_to_Exp2
10-20%,282,,,,,1.0,0.0,,,0.0,3.3888936117382524e-06,4.1167151045956257e-10,0.04748004391002895,0.992461674940685,17,14,Exp1_to_Exp2
20-30%,282,,,,,0.12056737588652482,0.18716981132075472,-0.5563753323807314,,0.0,1.0609850681248091e-07,2.936065289173132e-14,0.04721550137431251,0.99252927589846,3,0,Exp1_to_Exp2
30-40%,281,,,,,0.0,0.2,,,0.0,6.34535725965323e-08,4.026411768505206e-15,0.0453575838340539,0.9929614850226006,2,0,Exp1_to_Exp2
40-50%,282,,,,,0.74822695035461,0.08045325779036827,0.7090147543036234,,0.0,6.357133846513723e-08,4.041433223736539e-15,0.0453594801745009,0.9929608399913531,3,0,Exp1_to_Exp2
50-60%,282,,,,,1.0,0.0,,,,6.331536563406019e-08,4.008918999275721e-15,0.04535538910859337,0.9929622291406022,3,0,Exp1_to_Exp2
60-70%,281,,,,,1.8327402135231317,0.0,0.5112338516718404,,,6.824438318614383e-08,4.787737317266101e-15,0.045401735896790266,0.9929434822545458,4,1,Exp1_to_Exp2
70-80%,282,,,,,2.0,0.0,,,,8.737595531014778e-08,1.0619859823057276e-14,0.04528191913919511,0.992945054113679,3,0,Exp1_to_Exp2
80-90%,282,0.993025493025493,0.9974587442997878,0.993025493025493,0.9974587442997878,2.702127659574468,0.0,0.781919894006953,0.0,,0.7021275710610493,0.7021275206902813,0.045479455967156364,0.9928955111576048,9,7,Exp1_to_Exp2
90-100%,282,,1.0,,1.0,3.0,0.0,,0.0,,0.9999999351810844,0.9999998703621733,0.04537839267863624,0.992954351908136,3,0,Exp1_to_Exp2
0-10%,911,,,,,1.8572996706915477,0.02316442605997932,,,0.012074643249176729,0.00025198358899786275,6.17115719154814e-06,0.08483973232354886,0.9764810860593462,276,25,Exp2_to_Exp1
10-20%,912,,,,,1.3201754385964912,0.19870967741935483,-0.8217019779547788,,0.0,7.527173342553592e-06,2.236854389151983e-10,0.041091670341277066,0.9931714173088807,338,27,Exp2_to_Exp1
20-30%,911,,,,,0.0,0.2,,,0.0,6.62218431486431e-08,4.427128404878984e-15,0.047075397923646234,0.9926538845168025,293,0,Exp2_to_Exp1
30-40%,912,,,,,0.25109649122807015,0.17128526645768025,,,0.0,8.230425036694662e-06,5.776364841764473e-10,0.15159581047717252,0.9503156972866831,353,84,Exp2_to_Exp1
40-50%,911,,,,,0.6421514818880352,0.10541632983023444,-0.4981449039804905,,0.0,5.694506046620112e-06,2.1633592388467156e-10,0.09334582811937717,0.9751461940363769,56,48,Exp2_to_Exp1
50-60%,912,,,,,1.0,0.0,,,,7.402433055192138e-08,5.530350210200797e-15,0.04726470449202147,0.9925995786204449,8,0,Exp2_to_Exp1
60-70%,911,,,,,1.8957189901207465,0.0,-0.24098348927479396,,,6.91562026205728e-08,4.843065589861024e-15,0.047205475167941054,0.9926220356663,9,0,Exp2_to_Exp1
70-80%,912,0.706662829469673,0.5198567153365315,0.706662829469673,0.5198567153365315,2.2434210526315788,0.04306688417618271,0.34268587023197006,0.02925531914893617,,0.4114415873796568,0.4114347067789455,0.05455881755466402,0.990077031408071,20,12,Exp2_to_Exp1
80-90%,911,,1.0,,1.0,3.0,0.0,,0.0,,0.9999999312890485,0.9999998625781018,0.047191206912941694,0.992625818321152,7,0,Exp2_to_Exp1
90-100%,912,,1.0,,1.0,1.1710526315789473,0.0,,0.9144736842105263,,0.9938676024633188,0.9878002096069778,0.05841306711400422,0.9890858956852998,347,7,Exp2_to_Exp1
